building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type
1,610 BEACON STREET,42.3497,-71.0945,Residential,110,32.19529514267044,235,0.29268450129700396,2.1363636363636362,Large Dormitory-Style
4,610 BEACON STREET,42.3497,-71.0945,Residential,105,19.736437868865714,91,0.18796607494157824,0.8666666666666667,Large Dormitory-Style
9,610 BEACON STREET,42.3497,-71.0945,Residential,86,14.177307581908394,58,0.16485241374312087,0.6744186046511628,Large Dormitory-Style
2,610 BEACON STREET,42.3497,-71.0945,Residential,86,17.81441146366428,75,0.20714431934493346,0.872093023255814,Large Dormitory-Style
7,610 BEACON STREET,42.3497,-71.0945,Residential,86,15.084098618350295,62,0.17539649556221273,0.7209302325581395,Large Dormitory-Style
6,610 BEACON STREET,42.3497,-71.0945,Residential,86,16.388059701492537,70,0.1905588337382853,0.813953488372093,Large Dormitory-Style
3,610 BEACON STREET,42.3497,-71.0945,Residential,105,19.515420995189782,87,0.18586115233514078,0.8285714285714286,Large Dormitory-Style
8,512 BEACON STREET,42.3509,-71.0903,Residential,30,4.256757853721893,32,0.14189192845739643,1.0666666666666667,Large Dormitory-Style
1,512 BEACON STREET,42.3509,-71.0903,Residential,44,12.984314174490496,99,0.29509804942023854,2.25,Large Dormitory-Style
4,512 BEACON STREET,42.3509,-71.0903,Residential,30,6.752011704462326,35,0.22506705681541087,1.1666666666666667,Large Dormitory-Style
9,512 BEACON STREET,42.3509,-71.0903,Residential,30,4.333716795649446,26,0.1444572265216482,0.8666666666666667,Large Dormitory-Style
2,512 BEACON STREET,42.3509,-71.0903,Residential,30,8.363420667373417,45,0.2787806889124472,1.5,Large Dormitory-Style
7,512 BEACON STREET,42.3509,-71.0903,Residential,30,3.3612672457843638,19,0.11204224152614546,0.6333333333333333,Large Dormitory-Style
3,10 LENOX STREET,42.3487,-71.1099,Administrative,21,5.039150630391506,31,0.23995955382816697,1.4761904761904763,
5,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,79,7.14382337927514,58,0.09042814404145748,0.7341772151898734,
1,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,245,59.592594433399604,610,0.24323507931999838,2.489795918367347,
2,96-100 CUMMINGTON MALL,42.3489,-71.1048,Academic,55,6.828408501814412,47,0.12415288185117113,0.8545454545454545,
2,25 BUICK STREET,42.3519,-71.1152,Administrative,200,17.340558072487646,175,0.08670279036243823,0.875,
15,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,8.019678565745505,39,0.16039357131491008,0.78,Large Dormitory-Style
