building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation
6,765 COMMONWEALTH AVENUE,42.351,-71.1074,Academic,143,11.958429561200925,66,0.0836253815468596,0.4615384615384615,,Yes
2,111 CUMMINGTON MALL,42.3491,-71.104,Research,168,11.751375305623473,121,0.069948662533473,0.7202380952380952,,Yes
-1,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,0,11.637911781127862,101,inf,inf,,Yes
6,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,255,11.401341480222356,85,0.0447111430596955,0.3333333333333333,,Yes
17,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,11.3922131403257,42,0.0856557378971857,0.3157894736842105,Large Dormitory-Style,Partial
5,100 BAY STATE ROAD,42.3498,-71.0979,Student Support,101,11.389095770075432,66,0.1127633244561924,0.6534653465346535,,Yes
15,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,11.341184867951464,57,0.0852720666763268,0.4285714285714285,Large Dormitory-Style,Partial
3,25 BUICK STREET,42.3519,-71.1152,Administrative,174,11.288877296702022,215,0.0648786051534599,1.235632183908046,,Yes
7,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,11.197245127436284,50,0.2239449025487256,1.0,Large Dormitory-Style,Yes
3,890 COMMONWEALTH AVENUE,42.3505,-71.1156,Academic,129,11.021886166411434,49,0.0854409780341971,0.3798449612403101,,Yes
9,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,10.988223269042752,53,0.219764465380855,1.06,Large Dormitory-Style,Yes
1,820 COMMONWEALTH AVENUE,42.35,-71.1122,Academic,149,10.839427662957076,89,0.0727478366641414,0.5973154362416108,,Yes
-1,640 COMMONWEALTH AVENUE,42.3488,-71.1023,Academic,0,10.829180300360768,72,inf,inf,,Yes
2,808 COMMONWEALTH AVENUE,42.3501,-71.1117,Academic,317,10.771654824537617,90,0.0339799836736202,0.2839116719242902,,Yes
2,120 ASHFORD STREET,42.3544,-71.1223,Administrative,56,10.75973593697992,74,0.1921381417317842,1.3214285714285714,,Yes
6,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,10.715743050605845,50,0.2143148610121169,1.0,Large Dormitory-Style,Yes
-1,285 BABCOCK STREET,42.354,-71.1203,Athletic,0,10.666096007669656,308,inf,inf,,Yes
5,675 - 725 COMMONWEALTH AVENUE,42.3502,-71.1046,Research,0,10.593677529598438,73,inf,inf,,Partial
3,100 BAY STATE ROAD,42.3498,-71.0979,Student Support,71,10.557636251214555,65,0.1486991021297825,0.9154929577464788,,Yes
3,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,10.53939255537794,66,0.2107878511075588,1.32,Large Dormitory-Style,Yes
3,8 ST. MARY'S STREET,42.3492,-71.1061,Research,176,10.51416672356114,107,0.0597395836565973,0.6079545454545454,,Yes
2,745 - 755 COMMONWEALTH AVENUE,42.3505,-71.1073,Academic,60,10.390212807688537,81,0.1731702134614756,1.35,,Partial
3,928 COMMONWEALTH AVENUE,42.3509,-71.1175,Academic,69,10.371874044634668,108,0.1503170151396328,1.565217391304348,,Yes
5,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,12,10.30285248573757,91,0.8585710404781309,7.583333333333333,,Yes
4,100 BAY STATE ROAD,42.3498,-71.0979,Student Support,94,10.195642669775577,72,0.1084642837210167,0.7659574468085106,,Yes
8,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,10.121560368115013,50,0.2024312073623002,1.0,Large Dormitory-Style,Yes
6,8 ST. MARY'S STREET,42.3492,-71.1061,Research,148,9.993110069464054,44,0.0675210139828652,0.2972972972972973,,Yes
-1,236 BAY STATE ROAD,42.3506,-71.1042,Academic,0,9.9287280015031,72,inf,inf,,No
13,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,9.82381413359148,45,0.0738632641623419,0.3383458646616541,Large Dormitory-Style,Partial
1,975 COMMONWEALTH AVENUE,42.3521,-71.1197,Administrative,53,9.771535850963968,164,0.1843686009615843,3.0943396226415096,,Yes
